"Page","Source","Review priority","Status","Direct imports","Next acceptance checks"
"Analytics","src/pages/Analytics.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/supabase; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/analyticsEngine; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/PeriodFilter; ../lib/formatters; ../lib/fetchAll; ../components/ui/EnterpriseTable; ../hooks/useReportMeta; ../lib/safeError; ../lib/reportColors; ../lib/costSources; ../lib/api/governedCost; ../components/cost/CostValue; ../components/ui/Card","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Anomalies","src/pages/Anomalies.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../lib/supabase; ../lib/fetchAll; ../contexts/AuthContext; ../contexts/SettingsContext; ../components/ui/PageHeader; ../components/ui/EnterpriseTable; ../components/ui/DateField; ../lib/formatters; ../lib/governedCost; ../lib/cn; ../lib/safeError; ../lib/useLatestRequest; ../lib/anomalyEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ApprovalDelegations","src/pages/ApprovalDelegations.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/AuthContext; ../lib/api/approvalDelegations; ../lib/api/users; ../lib/approvalDelegations; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ApprovalMatrix","src/pages/ApprovalMatrix.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/TablePagination; ../contexts/SettingsContext; ../contexts/LanguageContext; ../contexts/AuthContext; ../lib/api/approvalMatrix; ../lib/api/sites; ../lib/approvalPolicyCopy; ../lib/safeError; react-router-dom","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Approvals","src/pages/Approvals.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; framer-motion; ../lib/api/workflows; ../lib/api/approvalsQueue; ../components/workflow/ApprovalReview; ../lib/approvalInbox; ../lib/countryFilter; ../lib/safeError; ../contexts/AuthContext; ../contexts/SettingsContext; date-fns; ../components/ui/PageHeader; ../components/workflow/ApprovalStatusBadge; ../components/workflow/ApprovalAction; ../components/workflow/ApprovalTrail; ../components/checklist/ChecklistAnswers; ../components/checklist/SignatureField; ../components/checklist/BlockingMarksNotice; ../components/checklist/ChecklistApprovalLadder; ../lib/workflow/stepRequirements; ../lib/checklist/checklistApproval; ../lib/checklist/checklistMarks; ../lib/api/userSignature; ../lib/savedSignature; ../lib/checklistView","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"AssetBreakdowns","src/pages/AssetBreakdowns.jsx","P2 workflow review","Not end-to-end verified","react; ../components/ui/TablePagination; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/EmptyState; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/assetBreakdowns; ../lib/assetBreakdowns; ../lib/exportUtils; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"AssetDetail","src/pages/AssetDetail.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/supabase; ../lib/api/assetManagement; ../lib/api/pmPrograms; ../components/asset/AssetFullHistory; ../lib/api/costSummary; ../lib/api/assetMaster; ../lib/api/assetUtilization; ../lib/fleetUtilization; ../lib/api/assetOwnership; ../lib/assetOwnership; ../lib/safeError; ../lib/pmSchedule; ../lib/pmPrograms; ../contexts/SettingsContext; ../contexts/AuthContext; ../contexts/LanguageContext; ../lib/formatters; ../components/LoadingState; ../components/ui/TablePagination; ../components/EmptyState; ../components/CustomFieldsPanel; ../components/TyreBay; ../components/insurance/AssetInsurancePanel; ../components/workflow/EntityApprovalPanel; ../components/illustrations; ../lib/brand/vehicleArt; ../lib/severity","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"AssetDisposals","src/pages/AssetDisposals.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/ui/Card; ../components/ui/Modal; ../components/present/StudioBoundary; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/assetDisposals; ../lib/assetDisposalReliability; ../lib/assetReplacement; ../lib/api/assetBreakdowns; ../lib/assetBreakdowns; ../lib/assetDisposal; ../lib/import/parseWorkbook; ../lib/reportColors; ../lib/exportUtils; ../lib/assetDisposalWorkbook; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"AssetManagement","src/pages/AssetManagement.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; ../hooks/useFilterState; ../hooks/useScrollRestore; framer-motion; chart.js; react-chartjs-2; lucide-react; ../components/ui/Skeleton; ../lib/api/assetManagement; ../contexts/SettingsContext; ../contexts/AuthContext; ../contexts/LanguageContext; ../lib/safeError; ../lib/formatters; ../components/ui/PageHeader; ../components/ui/TablePagination","Exercise primary action, denied access, scope change, error/retry and filtered export."
"AuditTrail","src/pages/AuditTrail.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/supabase; ../lib/useLatestRequest; ../lib/fetchAll; ../lib/api/auditTrail; ../lib/exportUtils; ../lib/safeError; ../contexts/AuthContext; ../lib/formatters; lucide-react; framer-motion; ../components/ui/PageHeader; ../components/ui/EnterpriseTable; ../hooks/useReportMeta","Exercise primary action, denied access, scope change, error/retry and filtered export."
"AutomationRules","src/pages/AutomationRules.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/api/businessRules; ../lib/safeError; date-fns; ../lib/formatters","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Batteries","src/pages/Batteries.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/batteries; ../lib/batteries; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"BayScheduling","src/pages/BayScheduling.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/api/bayScheduling; ../lib/bayScheduling; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Billing","src/pages/Billing.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/AuthContext; ../hooks/useBilling; ../lib/api/billing; ../lib/entitlements; ../lib/formatters; ../lib/safeError; ../components/ui/EnterpriseTable; ../hooks/useReportMeta; ../components/illustrations","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"BoardOverview","src/pages/BoardOverview.jsx","P2 workflow review","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/DateField; ../components/shell/ReportingScopeBar; ../components/expense/YearlyTrendPanel; ../contexts/SettingsContext; ../lib/formatters; ../lib/fetchAll; ../lib/api/engineeringKpi; ../lib/api/accidents; ../lib/api/workOrders; ../lib/api/stock; ../lib/boardOverview; ../lib/costSources; ../lib/api/governedCost; ../components/cost/CostValue; ../lib/api/fleetCpk; ../lib/fleetCpkView; ../lib/reportingScope; ../lib/reportingScopeQuery; ../lib/boardScope; ../lib/reportColors; ../lib/exportUtils; ../components/EmailPdfButton; ../components/present/PresentationStudio; ../components/present/StudioBoundary; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"BrandAssets","src/pages/BrandAssets.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; framer-motion; ../components/ui/PageHeader; ../components/illustrations; ../components/icons; ../lib/brand/library","Exercise primary action, denied access, scope change, error/retry and filtered export."
"BrandPerformance","src/pages/BrandPerformance.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/supabase; ../contexts/SettingsContext; ../lib/analyticsEngine; chart.js; react-chartjs-2; lucide-react; ../lib/api/brandSizeCpk; ../lib/brandSizeCpk; ../components/ui/Skeleton; framer-motion; ../components/ui/PageHeader; ../components/ui/PeriodFilter; ../components/ChartModal; ../lib/exportUtils; ../lib/formatters; ../lib/fetchAll; ../lib/api/governedCost; ../components/ui/EnterpriseTable; ../hooks/useReportMeta; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"BreakdownCallouts","src/pages/BreakdownCallouts.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/breakdownCallouts; ../lib/breakdownCallouts; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Broadcast","src/pages/Broadcast.jsx","P1 candidate","Not end-to-end verified","has a phone signed in; react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/broadcast; ../lib/api/customRoles; ../lib/api/sites; ../lib/safeError","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"BudgetPlanner","src/pages/BudgetPlanner.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; ../lib/supabase; ../contexts/SettingsContext; ../contexts/AuthContext; ../contexts/TenantContext; ../contexts/LanguageContext; ../lib/exportUtils; ../lib/safeError; ../lib/useLatestRequest; chart.js; react-chartjs-2; ../components/ui/PageHeader; ../components/budgets/BudgetTabs; ../components/ui/EnterpriseTable; ../hooks/useReportMeta; ../lib/fetchAll; ../lib/pdfEngine; lucide-react","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Budgets","src/pages/Budgets.jsx","P2 workflow review","Not end-to-end verified","react; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/LanguageContext; lucide-react; framer-motion; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/budgets/BudgetTabs; ../lib/exportUtils; ../lib/formatters; ../lib/safeError; ../lib/api/budgets; chart.js; react-chartjs-2; ../components/ui/EnterpriseTable; ../hooks/useReportMeta","Exercise primary action, denied access, scope change, error/retry and filtered export."
"CarbonTracker","src/pages/CarbonTracker.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/EmailPdfButton; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/carbon; ../lib/carbon; ../lib/safeError; ../lib/exportUtils; ../components/ui/TablePagination","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Certifications","src/pages/Certifications.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/api/certifications; ../lib/certificationsAnalytics; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ChargingSessions","src/pages/ChargingSessions.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/chargingSessions; ../lib/chargingSessions; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ChecklistBuilder","src/pages/ChecklistBuilder.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/checklist/fieldTypes; ../lib/checklist/checklistI18n; ../lib/checklist/checklistMarks; ../lib/checklist/checklistIcons; ../lib/checklist/checklistRoles; ../lib/api/checklists; ../lib/api/customRoles; ../lib/moduleCatalog; ../lib/checklist/importChecklist; ../lib/safeError","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ChecklistInsights","src/pages/ChecklistInsights.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; chart.js; react-chartjs-2; ../components/ui/PageHeader; ../components/ui/TablePagination; ../contexts/SettingsContext; ../lib/api/checklists; ../lib/checklist/fieldTypes; ../lib/safeError; ../lib/api/_client","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ChecklistRun","src/pages/ChecklistRun.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; lucide-react; ../contexts/SettingsContext; ../lib/formatters; ../contexts/AuthContext; ../lib/checklist/checklistDraft; ../contexts/LanguageContext; ../lib/api/checklists; ../lib/checklist/fieldTypes; ../lib/checklist/checklistMarks; ../lib/checklist/checklistI18n; ../lib/api/checklistSchedules; ../components/SignaturePad; ../components/checklist/ReferencePicker; ../components/checklist/MarkChip; ../components/checklist/BlockingMarksNotice; ../lib/api/assets; ../lib/safeUrl; ../lib/safeError; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Checklists","src/pages/Checklists.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/checklists; ../lib/checklist/fieldTypes; ../lib/checklist/checklistI18n; ../lib/checklist/checklistIcons; ../lib/checklist/checklistRoles; ../lib/checklistMonthly; ../lib/checklistPdf; ../lib/safeError; ../contexts/TenantContext; ../components/checklist/ChecklistViewerDrawer; ../components/checklist/MonthlyGridPanel; ../components/ui/TablePagination; ../lib/api/_client","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ChecklistSchedules","src/pages/ChecklistSchedules.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; react-router-dom; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/checklistSchedules; ../lib/api/checklists; ../hooks/useSites; ../lib/safeError; ../lib/api/customRoles; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ChecklistSubmission","src/pages/ChecklistSubmission.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/api/checklists; ../lib/checklist/fieldTypes; ../lib/checklistView; ../components/checklist/MarkChip; ../components/checklist/SignatureView; ../components/checklist/ChecklistApprovalLadder; ../components/checklist/ChecklistDecisionPanel; ../components/checklist/BlockingMarksNotice; ../lib/checklistPdf; ../lib/checklist/checklistI18n; ../contexts/TenantContext; ../components/workflow/EntityApprovalPanel; ../lib/safeUrl; ../lib/safeError; ../lib/api/_client","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ClaimsSummary","src/pages/ClaimsSummary.jsx","P2 workflow review","Not end-to-end verified","react; ../components/ui/TablePagination; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/DateField; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/accidents; ../lib/claimsAnalytics; ../lib/exportUtils; ../components/EmailPdfButton; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ColdChain","src/pages/ColdChain.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/api/coldChain; ../lib/api/_client; ../lib/coldChain; ../lib/coldChainAnalytics; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Combinations","src/pages/Combinations.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/ui/TablePagination; ../contexts/SettingsContext; ../lib/api/combinations; ../lib/combinations; ../lib/exportUtils; ../lib/formatters; ../lib/safeError","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Comparison","src/pages/Comparison.jsx","P2 workflow review","Not end-to-end verified","react; ../contexts/LanguageContext; ../contexts/SettingsContext; ../lib/supabase; react-chartjs-2; chart.js; ../lib/exportUtils; ../lib/formatters; ../lib/fetchAll; ../lib/analyticsEngine; ../lib/safeError; lucide-react; ../components/ui/PageHeader; ../components/ui/SegmentedControl; ../components/ui/EnterpriseTable; ../hooks/useReportMeta","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ComplianceDashboard","src/pages/ComplianceDashboard.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; ../components/ui/PageHeader; chart.js; react-chartjs-2; lucide-react; ../lib/supabase; ../lib/fetchAll; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/exportUtils; ../lib/formatters; ../lib/safeError; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ContinuousImprovement","src/pages/ContinuousImprovement.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; lucide-react; chart.js; react-chartjs-2; ../lib/api/continuousImprovement; ../contexts/SettingsContext; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/ui/SegmentedControl; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Contracts","src/pages/Contracts.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; lucide-react; chart.js; react-chartjs-2; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/contracts; ../lib/contractsAnalytics; ../lib/formatters; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"CorrectiveActions","src/pages/CorrectiveActions.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/api; ../contexts/AuthContext; ../contexts/SettingsContext; lucide-react; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/ui/Skeleton; ../lib/formatters; ../lib/formatters; ../contexts/LanguageContext; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"CostCenter","src/pages/CostCenter.jsx","P1 candidate","Not end-to-end verified","react; framer-motion; ../lib/api; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/exportUtils; ../lib/costSources; ../lib/api/governedCost; ../components/cost/CostValue; ../lib/costIntelligence; ../lib/api/production; ../lib/import; ../lib/erpImport; ../lib/api/_client; ../contexts/AuthContext; ../lib/safeError; ../components/ui/PageHeader; ../components/ui/DateField; ../components/expense/YearlyTrendPanel; ../components/EmailPdfButton; ../components/budgets/BudgetTabs; lucide-react; ../components/ui/Skeleton; ../components/ui/TablePagination; chart.js; react-chartjs-2","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"CostPerM3","src/pages/CostPerM3.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; react-router-dom; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/ui/DateField; ../components/trust/ExplainThisNumber; ../contexts/SettingsContext; ../lib/api/costPerM3; ../lib/cpkModule; ../lib/costPerM3; ../lib/exportUtils; ../components/present/PresentationStudio; ../components/present/StudioBoundary; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"CostScenarioPlanner","src/pages/CostScenarioPlanner.jsx","P2 workflow review","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/formatters; ../lib/costScenario","Exercise primary action, denied access, scope change, error/retry and filtered export."
